operational_priority,engine_id,current_cycle,recommendation,recommendation_rank,primary_reason_code,primary_reason,all_triggered_reason_codes,recommended_action,predicted_RUL_cycles,RUL_lower_cycles,RUL_upper_cycles,failure_probability_10_cycles,failure_probability_20_cycles,failure_probability_30_cycles,anomaly_percentile,persistent_anomaly_alert
80,51,144,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,96.79141946463052,78.37802624758744,115.20481268167356,1.8167516229560955e-11,2.383030426495618e-07,7.257625408977882e-05,0.1142857142857142,0
81,88,68,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,96.83752925004232,78.42413603299924,115.25092246708536,1.941976783699492e-10,1.3005579170052607e-06,8.280295912117244e-05,0.8131868131868132,0
82,55,113,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,96.981983031715,78.56858981467192,115.39537624875804,1.7313069351608077e-13,1.074484131644584e-09,9.104891704516744e-06,0.7368131868131869,0
83,78,72,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,97.46280074656752,79.04940752952444,115.87619396361058,4.1871830361192655e-18,7.300701328744627e-14,1.068762495191764e-08,0.8082417582417583,0
84,71,68,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,97.47910983088298,79.06571661383991,115.89250304792604,3.0663641116110524e-14,7.779623587735094e-10,1.2078553087498154e-05,0.6840659340659341,0
85,73,112,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,97.9621046204028,79.54871140335973,116.37549783744586,2.0519273382245343e-15,8.181086217495232e-12,2.775913328279238e-07,0.934065934065934,0
86,75,88,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,98.38799426159478,79.97460104455172,116.80138747863784,3.535810817525908e-13,2.466139419971005e-08,1.0789882573445124e-05,0.8813186813186813,0
87,25,48,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,98.40973958767262,79.99634637062955,116.82313280471568,9.225473947590505e-14,3.0188809494122915e-10,2.9896015467573864e-06,0.3351648351648351,0
88,1,31,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,98.46482980518849,80.0514365881454,116.87822302223154,3.618780808667446e-15,5.502092742242295e-10,2.199869794814197e-06,0.4510989010989011,0
89,65,71,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,98.9182354285375,80.50484221149443,117.33162864558057,2.668748366998017e-16,4.879517319456131e-13,1.945339271752259e-07,0.0895604395604395,0
90,23,130,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,98.94527510599092,80.53188188894786,117.358668323034,6.198067189274699e-16,1.4907314680355796e-11,2.467614069599204e-07,0.1357142857142857,0
91,26,76,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,99.43803211617607,81.02463889913302,117.85142533321915,6.911707567478859e-15,1.3108630054114558e-10,1.329451446943184e-06,0.5302197802197802,0
92,89,177,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,99.88879202436246,81.4753988073194,118.30218524140552,2.0346676112455358e-10,1.2769902853595246e-06,8.728996910986537e-05,0.4543956043956044,0
93,59,94,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,99.9680099619625,81.55461674491943,118.38140317900556,8.363047269039938e-16,1.97091282566588e-11,7.645096202781254e-07,0.6445054945054945,0
94,83,73,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,100.0452845497432,81.63189133270012,118.45867776678624,1.3698745232800128e-13,2.407645306717413e-09,3.1148386052234947e-06,0.5021978021978022,0
95,2,49,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,100.14171493993436,81.72832172289128,118.5551081569774,1.3867995547151984e-11,3.491822601730904e-08,3.45632828287878e-05,0.3406593406593406,0
96,69,54,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,100.90932110312762,82.49592788608456,119.32271432017068,3.126121111125085e-12,7.279704090951481e-09,1.804192675710842e-05,0.5269230769230769,0
97,44,54,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,101.17560435745152,82.76221114040847,119.5889975744946,1.4341368756215203e-11,2.0390675603877321e-07,0.0003358639987193,0.4483516483516483,0
98,39,37,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,102.34081957477794,83.92742635773487,120.754212791821,2.368038823074284e-16,1.0958225506114999e-12,2.777460058616832e-07,0.2461538461538461,0
99,22,39,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,103.75255049687544,85.33915727983238,122.16594371391852,1.944300313996038e-12,1.3690016622667399e-09,1.2969620152945654e-05,0.2054945054945054,0
100,85,34,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,105.29192586268182,86.87853264563876,123.70531907972487,2.943028982578175e-11,1.3636341826894645e-08,1.1597143468304354e-05,0.539010989010989,0
