operational_priority,engine_id,current_cycle,predicted_RUL_cycles,RUL_lower_cycles,RUL_upper_cycles,failure_probability_10_cycles,classification_decision_h10,failure_probability_20_cycles,classification_decision_h20,failure_probability_30_cycles,classification_decision_h30,anomaly_percentile,persistent_anomaly_alert,recommendation,primary_reason_code,all_triggered_reason_codes,recommendation_rank,primary_reason,recommended_action
77,27,104,98.3625238095238,78.40317460317465,100.0,1.1376206458514674e-09,0,4.577271874648992e-06,0,1.7142724470454215e-05,0,0.8896691137355037,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
78,15,112,99.0717738095238,79.11242460317465,100.0,1.3757166891102051e-14,0,7.286567988135493e-08,0,7.241535406643646e-06,0,0.3467390147888073,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
79,16,126,99.29041666666669,79.33106746031751,100.0,2.888839311948969e-09,0,0.0012184739386584,0,0.0012184739386584,0,0.7498670071284179,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
80,12,146,99.36208333333336,79.40273412698419,100.0,1.395906976486659e-09,0,3.2494869326496806e-05,0,0.0039311363581981,0,0.8698797744440898,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
81,19,115,99.45958333333334,79.50023412698418,100.0,9.939344825662157e-14,0,9.252755954490276e-08,0,5.386945488601847e-06,0,0.01606553888711565,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
82,52,38,99.57925000000002,79.61990079365086,100.0,1.3780875096695382e-12,0,7.4038531084973e-07,0,9.1996371789746e-05,0,0.29513778061495904,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
83,28,70,99.6545,79.69515079365085,100.0,5.6309551821814504e-14,0,2.7770037837669106e-07,0,3.492739551025623e-05,0,0.2905628258325354,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
84,69,105,99.70158333333332,79.74223412698417,100.0,1.2735324219232912e-14,0,8.786477430902773e-09,0,9.265037290990504e-07,0,0.45515480370252154,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
85,65,79,99.74083333333334,79.78148412698418,100.0,6.497934600529576e-15,0,5.570222572839698e-08,0,9.373326034836132e-06,0,0.08011490584104693,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
86,4,68,99.75233333333334,79.79298412698418,100.0,2.155958346217408e-10,0,1.8459829088981885e-06,0,6.540335667513559e-05,0,0.44983508883923823,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
87,18,244,99.7565,79.79715079365084,100.0,8.693297432420396e-15,0,2.6389356573128253e-09,0,9.015580600903653e-06,0,0.07883817427385892,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
88,80,85,99.78533333333334,79.82598412698418,100.0,2.16374149921232e-08,0,1.7471087687371456e-05,0,3.2102491985848944e-05,0,0.9660602191722524,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
89,63,137,99.80116666666667,79.84181746031751,100.0,1.930996926324822e-12,0,5.211868100359699e-07,0,5.754968595426393e-06,0,0.8347696563464199,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
90,5,138,99.84925,79.88990079365084,100.0,3.703539608606268e-17,0,1.3583721122420208e-09,0,1.482311001774997e-06,0,0.01361847005000532,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
91,17,230,99.86333333333334,79.90398412698418,100.0,3.036408269466304e-12,0,4.440373937691635e-07,0,1.2169232915692245e-05,0,0.6042132141717204,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
92,37,47,99.89791666666666,79.9385674603175,100.0,8.403605951771194e-14,0,2.2433192177297106e-07,0,8.853675698762118e-06,0,0.46536865624002555,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
93,41,101,99.91,79.95065079365084,100.0,1.710222776253458e-16,0,2.9194394528024934e-08,0,2.217325645354083e-06,0,0.49941483136503884,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
94,22,119,99.975,80.01565079365083,100.0,3.2342109806155845e-13,0,6.206580540069132e-08,0,1.262095395268736e-05,0,0.6870943717416746,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
95,45,88,99.978,80.01865079365083,100.0,1.7614774158671967e-14,0,4.172258013219724e-08,0,6.543192295507773e-06,0,0.3817427385892116,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
96,36,90,99.98916666666668,80.02981746031752,100.0,1.7435107220278923e-16,0,1.9135990718950495e-08,0,1.4124660387682562e-06,0,0.2641770401106501,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
97,88,41,100.0,80.04065079365084,100.0,1.7636618304105148e-14,0,2.0101779166588123e-08,0,3.862429697589721e-06,0,0.5810192573678051,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
98,61,78,100.0,80.04065079365084,100.0,4.417437527138476e-17,0,9.59079209860798e-10,0,5.069302350765005e-07,0,0.5548462602404511,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
99,74,68,100.0,80.04065079365084,100.0,7.479728441207094e-15,0,3.270068712821444e-08,0,4.6315058419721015e-06,0,0.36408128524311095,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
100,97,95,100.0,80.04065079365084,100.0,9.795187611936278e-15,0,1.0442168167053823e-07,0,1.0144023510726724e-06,0,0.045004787743376955,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
